CID	X	Y	CellType	CellTypeName	Region	Dist2Interface
HumanMelanomaPatient1__cell_3655	1894.70590210966	-6367.76611319608	Fibroblast	Fibroblasts	Stroma	-883.175158931153
HumanMelanomaPatient1__cell_3657	1942.47955558424	-6369.60218357687	Fibroblast	Fibroblasts	Stroma	-894.846329251503
HumanMelanomaPatient1__cell_3658	1963.00686951263	-6374.02621368086	Fibroblast	Fibroblasts	Stroma	-904.111530107291
HumanMelanomaPatient1__cell_3660	1981.60034677624	-6372.2663390715	Fibroblast	Fibroblasts	Stroma	-907.890860034327
HumanMelanomaPatient1__cell_3661	1742.9386469049	-6374.85117574939	Fibroblast	Fibroblasts	Stroma	-874.271162256023
HumanMelanomaPatient1__cell_3663	1921.68328286251	-6383.30861829218	Fibroblast	Fibroblasts	Stroma	-903.655926739047
HumanMelanomaPatient1__cell_3664	1706.25326317591	-6383.42836530427	Fibroblast	Fibroblasts	Stroma	-880.475841932207
HumanMelanomaPatient1__cell_3665	1968.92565607363	-6385.5412357773	Fibroblast	Fibroblasts	Stroma	-916.778956419919
HumanMelanomaPatient1__cell_3666	1761.40299061044	-6387.96996533351	Fibroblast	Fibroblasts	Stroma	-888.627147112426
HumanMelanomaPatient1__cell_3668	1841.5135159118	-6389.66322266235	Fibroblast	Fibroblasts	Stroma	-896.848435070944
HumanMelanomaPatient1__cell_3670	1741.53595042827	-6395.79643128131	Fibroblast	Fibroblasts	Stroma	-895.025949433963
HumanMelanomaPatient1__cell_3674	1907.09913248669	-6411.77253413343	Fibroblast	Fibroblasts	Stroma	-928.707636255847
HumanMelanomaPatient1__cell_3675	2031.86695555354	-6412.15691294392	Fibroblast	Fibroblasts	Stroma	-961.938651860423
HumanMelanomaPatient1__cell_3679	1999.20907167456	-6421.67186290487	Fibroblast	Fibroblasts	Stroma	-960.317448864842
HumanMelanomaPatient1__cell_3683	1874.26705772623	-6432.27194758458	Fibroblast	Fibroblasts	Stroma	-943.450470973934
HumanMelanomaPatient1__cell_3684	2026.93878891484	-6433.39262054467	Fibroblast	Fibroblasts	Stroma	-980.282813213842
HumanMelanomaPatient1__cell_3687	2018.00863681409	-6447.3901086642	Fibroblast	Fibroblasts	Stroma	-990.629764018255
HumanMelanomaPatient1__cell_3688	2035.35979778078	-6449.34256546919	Fibroblast	Fibroblasts	Stroma	-998.122906661903
HumanMelanomaPatient1__cell_3689	1953.51381782062	-6454.07182161456	Fibroblast	Fibroblasts	Stroma	-979.610848074855
HumanMelanomaPatient1__cell_3691	1623.79973221707	-6457.94146838329	Fibroblast	Fibroblasts	Stroma	-956.929361105126
HumanMelanomaPatient1__cell_3692	1906.1928416258	-6459.23385337772	Fibroblast	Fibroblasts	Stroma	-975.225295920798
HumanMelanomaPatient1__cell_3693	1977.71162883264	-6465.83158921401	Fibroblast	Fibroblasts	Stroma	-996.696257539835
HumanMelanomaPatient1__cell_3694	1928.02981027446	-6465.56239269895	Fibroblast	Fibroblasts	Stroma	-985.503471832195
HumanMelanomaPatient1__cell_3695	1861.44425266731	-6472.85950524925	Fibroblast	Fibroblasts	Stroma	-981.874747512064
